net,length_um
_4262_,22.6µm
_1843_,22.56µm
_2412_,22.54µm
_3292_,22.54µm
_2874_,22.5µm
net681,22.5µm
_0587_,22.46µm
_2475_,22.44µm
_3527_,22.42µm
_0700_,22.4µm
_1982_,22.38µm
_0866_,22.37µm
_1582_,22.36µm
_2905_,22.3µm
_4018_,22.28µm
_0181_,22.265µm
_2014_,22.265µm
_3571_,22.2µm
_2211_,22.17µm
_3012_,22.16µm
pe_array\[1\].u_pe.accum_reg\[8\],22.16µm
_1057_,22.14µm
_3096_,22.14µm
pe_array\[0\].u_pe.accum_reg\[5\],22.14µm
_2498_,22.12µm
net584,22.12µm
_3601_,22.08µm
_1973_,22.06µm
_1972_,22.04µm
pe_array\[0\].u_pe.accum_reg\[16\],22.04µm
_0576_,22.02µm
_0815_,22.02µm
_0665_,22µm
_3524_,21.98µm
pe_array\[2\].u_pe.accum_reg\[30\],21.98µm
_3041_,21.96µm
_3425_,21.92µm
_4047_,21.92µm
_2965_,21.915µm
_1571_,21.9µm
_3891_,21.9µm
_2191_,21.82µm
_1392_,21.76µm
_1500_,21.74µm
_1506_,21.74µm
_1605_,21.72µm
pe_array\[1\].u_pe.accum_reg\[9\],21.72µm
_1536_,21.68µm
_1546_,21.66µm
_1653_,21.66µm
_2900_,21.66µm
_1466_,21.64µm
_2043_,21.64µm
_3948_,21.6µm
_1487_,21.58µm
_3799_,21.53µm
_3893_,21.52µm
_1656_,21.5µm
_4253_,21.5µm
result_data[49],21.49µm
_3235_,21.48µm
pe_accum\[1\]\[5\],21.48µm
_3258_,21.46µm
_0182_,21.36µm
_1239_,21.36µm
_3882_,21.345µm
_1279_,21.32µm
_1510_,21.32µm
_0944_,21.3µm
_2646_,21.3µm
_1477_,21.24µm
_3855_,21.24µm
net907,21.24µm
net525,21.22µm
_1606_,21.2µm
_2483_,21.2µm
_3478_,21.16µm
net965,21.14µm
_3567_,21.12µm
_3350_,21.1µm
